Model,Validation L1 Loss,Validation L2 Loss
Baseline,6.565590858459473,78.38884735107422
RNN,5.127874374389648,48.66561508178711
LSTM,4.9705915451049805,46.151859283447266
GRU,4.964221477508545,45.57145690917969
